NHTSACampaignNumber,ReportReceivedDate,Make,Model,ModelYear,Component,parkIt,parkOutSide,overTheAirUpdate,Summary,Consequence,Remedy,Notes,Manufacturer
20V543000,04/09/2020,HYUNDAI,TUCSON,2020,"SERVICE BRAKES, HYDRAULIC:ANTILOCK/TRACTION CONTROL/ELECTRONIC LIMITED SLIP:CONTROL UNIT/MODULE",False,True,False,"Hyundai Motor America (Hyundai) recalled certain 2019-2021 Tucson vehicles on September 4, 2020.  On December 30, 2020, Hyundai expanded the recall population, and added certain 2016-2018 Tucson vehicles.  The Anti-lock Brake Hydraulic Electronic Control Unit (HECU) could corrode internally and cause an electrical short, possibly resulting in an engine compartment fire.",An engine compartment fire can increase the risk of injury or crash.,"Hyundai will notify owners, and dealers will replace the HECU fuse.  For 2019-2021 model years, the Electronic Stability Control (ESC) software will also be updated.  Recall repairs will be performed free of charge.  Owners are advised to park outside and away from structures as a precaution until the recall repair is complete.  The recall began November 2, 2020.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 195.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",Hyundai Motor America
20V543000,04/09/2020,HYUNDAI,TUCSON,2021,"SERVICE BRAKES, HYDRAULIC:ANTILOCK/TRACTION CONTROL/ELECTRONIC LIMITED SLIP:CONTROL UNIT/MODULE",False,True,False,"Hyundai Motor America (Hyundai) recalled certain 2019-2021 Tucson vehicles on September 4, 2020.  On December 30, 2020, Hyundai expanded the recall population, and added certain 2016-2018 Tucson vehicles.  The Anti-lock Brake Hydraulic Electronic Control Unit (HECU) could corrode internally and cause an electrical short, possibly resulting in an engine compartment fire.",An engine compartment fire can increase the risk of injury or crash.,"Hyundai will notify owners, and dealers will replace the HECU fuse.  For 2019-2021 model years, the Electronic Stability Control (ESC) software will also be updated.  Recall repairs will be performed free of charge.  Owners are advised to park outside and away from structures as a precaution until the recall repair is complete.  The recall began November 2, 2020.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 195.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",Hyundai Motor America
21V938000,02/12/2021,HYUNDAI,TUCSON,2022,ELECTRICAL SYSTEM:SOFTWARE,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2022 Tucson vehicles.  The software installed in the Integrated Central Control Unit (ICU) may be incompatible with the vehicle, which could result in inoperative headlights and/or taillights.","Inoperative headlights or taillights can decrease visibility for both the driver and surrounding traffic, increasing the risk of a crash.","Dealers updated the ICU software, free of charge.  All affected vehicles have been repaired and therefore no owner notification letters will be mailed.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 214.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
23V038000,31/01/2023,HYUNDAI,TUCSON,2022,STRUCTURE:BODY:ROOF AND PILLARS,False,False,False,Hyundai Motor America (Hyundai) is recalling certain 2022 Tucson and 2022-2023 Santa Cruz vehicles.  The roof moldings may detach.,"A detached roof molding could become a road hazard, increasing the risk of a crash.","Dealers will inspect and replace, or secure the roof moldings, as necessary, free of charge.  Owner notification letters were mailed March 30, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 241.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
25V893000,19/12/2025,HYUNDAI,TUCSON,2022,TRAILER HITCHES,False,True,False,"Hyundai Motor America (Hyundai) is recalling certain 2022-2024 Tucson vehicles equipped with an optional Mobis tow hitch wiring harness. The wiring harness may have been installed incorrectly, allowing water into the control module. Moisture accumulation may cause the trailer lighting to fail or an electrical short circuit.",Nonfunctioning trailer lights can increase the risk of a crash. A short circuit can increase the risk of a fire.,"Owners are advised to park outside and away from structures until the recall repair is complete. Dealers will install a cap of the wiring, free of charge. Owner notification letters were mailed May 11, 2026. Owners may contact Hyundai customer service at 1-855-371-9460. Hyundai's number for this recall is 290. Vehicle Identification Numbers (VINs) involved in this recall  became searchable on NHTSA.gov on December 20, 2025.",,Hyundai Motor America
23V526000,27/07/2023,HYUNDAI,TUCSON,2023,POWER TRAIN:AUTOMATIC TRANSMISSION:FLUID/LUBRICANT:PUMP,False,True,False,"Hyundai Motor America (Hyundai) is recalling certain 2023-2024 Palisade Tucson, 2023 Sonata, Elantra, and Kona vehicles.  The electronic controller for the Idle Stop & Go oil pump assembly may contain damaged electrical components that can cause the pump controller to overheat.",An electric oil pump assembly that overheats increases the risk of a vehicle fire.,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect and replace the electric oil pump controller, as necessary, free of charge.  Owner notification letters were mailed starting September 7, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 246.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
25V893000,19/12/2025,HYUNDAI,TUCSON,2023,TRAILER HITCHES,False,True,False,"Hyundai Motor America (Hyundai) is recalling certain 2022-2024 Tucson vehicles equipped with an optional Mobis tow hitch wiring harness. The wiring harness may have been installed incorrectly, allowing water into the control module. Moisture accumulation may cause the trailer lighting to fail or an electrical short circuit.",Nonfunctioning trailer lights can increase the risk of a crash. A short circuit can increase the risk of a fire.,"Owners are advised to park outside and away from structures until the recall repair is complete. Dealers will install a cap of the wiring, free of charge. Owner notification letters were mailed May 11, 2026. Owners may contact Hyundai customer service at 1-855-371-9460. Hyundai's number for this recall is 290. Vehicle Identification Numbers (VINs) involved in this recall  became searchable on NHTSA.gov on December 20, 2025.",,Hyundai Motor America
23V556000,04/08/2023,HYUNDAI,TUCSON,2024,EQUIPMENT:OTHER:LABELS,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2024 Tucson vehicles.  The tire and loading information label may incorrectly indicate information about a spare tire.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 110, ""Tire Selection and Rims.""","A label that incorrectly states spare tire pressure when there is no spare tire on-board may cause confusion during an emergency tire replacement, increasing the risk of a crash or injury.","Dealers will inspect and replace the tire and loading information label, as necessary, free of charge.  Owner notification letters were mailed September 5, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 247.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
23V526000,27/07/2023,HYUNDAI,TUCSON,2024,POWER TRAIN:AUTOMATIC TRANSMISSION:FLUID/LUBRICANT:PUMP,False,True,False,"Hyundai Motor America (Hyundai) is recalling certain 2023-2024 Palisade Tucson, 2023 Sonata, Elantra, and Kona vehicles.  The electronic controller for the Idle Stop & Go oil pump assembly may contain damaged electrical components that can cause the pump controller to overheat.",An electric oil pump assembly that overheats increases the risk of a vehicle fire.,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect and replace the electric oil pump controller, as necessary, free of charge.  Owner notification letters were mailed starting September 7, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 246.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
24V412000,05/06/2024,HYUNDAI,TUCSON,2024,STEERING:ELECTRIC POWER ASSIST SYSTEM,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2024 Tucson and Santa Cruz vehicles.  The circuit board in the motor-driven power steering assembly may short circuit, resulting in a loss of power steering assist.",A loss of power steering assist can increase the risk of a crash.,"Dealers will replace the motor-driven power steering electric power pack, free of charge.  Owner notification letters were mailed July 11, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 261.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
25V893000,19/12/2025,HYUNDAI,TUCSON,2024,TRAILER HITCHES,False,True,False,"Hyundai Motor America (Hyundai) is recalling certain 2022-2024 Tucson vehicles equipped with an optional Mobis tow hitch wiring harness. The wiring harness may have been installed incorrectly, allowing water into the control module. Moisture accumulation may cause the trailer lighting to fail or an electrical short circuit.",Nonfunctioning trailer lights can increase the risk of a crash. A short circuit can increase the risk of a fire.,"Owners are advised to park outside and away from structures until the recall repair is complete. Dealers will install a cap of the wiring, free of charge. Owner notification letters were mailed May 11, 2026. Owners may contact Hyundai customer service at 1-855-371-9460. Hyundai's number for this recall is 290. Vehicle Identification Numbers (VINs) involved in this recall  became searchable on NHTSA.gov on December 20, 2025.",,Hyundai Motor America
18V715000,11/10/2018,HYUNDAI,SANTA FE,2019,AIR BAGS:SIDE/WINDOW,False,False,False,Hyundai Motor America (Hyundai) is recalling certain 2019 Hyundai Santa Fe vehicles.  The Side Curtain Air Bag (SCAB) mounting bolts may interfere with and damage the air bags during deployment.,"In the event of a crash, if the air bags become damaged during deployment they may not inflate properly, increasing the risk of injury.","Hyundai will notify owners, and dealers will install a protective cover over the SCAB installation bolts, free of charge.  The recall began December 3, 2018.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 177.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",Hyundai Motor America
23V181000,17/03/2023,HYUNDAI,SANTA FE,2019,TRAILER HITCHES,False,True,False,"Hyundai Motor America (Hyundai) is recalling certain 2019-2023 Santa Fe, 2021-2023 Santa Fe HEV, 2022-2023 Santa Fe Plug-in HEV and Santa Cruz vehicles potentially equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Hyundai dealership.  Water accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire.",A fire while parked or driving can increase the risk of injury.,"Owners are advised to park their vehicles outside and away from structures until the remedy is completed.  Dealers will install a new fuse and wire extension kit as necessary, free of charge.  Owner notification letters were mailed starting May 16, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 244.  This recall is an expansion of previous recall number 22V-633.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
21V00M000,28/12/2021,HYUNDAI,SANTA FE,2020,VISIBILITY:WINDSHIELD,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2020-2021 Santa Fe, 2021 Sonata, and Elantra vehicles.  During manufacturing, the windshield may not have been properly bonded to the vehicle, allowing it to detach in a crash.",A windshield that detaches from a vehicle during a crash can increase the risk of injury.,"Dealers will remove and reinstall the front windshield panel, free of charge.  Owner notification letters were mailed June 20, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 216.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
23V181000,17/03/2023,HYUNDAI,SANTA FE,2020,TRAILER HITCHES,False,True,False,"Hyundai Motor America (Hyundai) is recalling certain 2019-2023 Santa Fe, 2021-2023 Santa Fe HEV, 2022-2023 Santa Fe Plug-in HEV and Santa Cruz vehicles potentially equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Hyundai dealership.  Water accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire.",A fire while parked or driving can increase the risk of injury.,"Owners are advised to park their vehicles outside and away from structures until the remedy is completed.  Dealers will install a new fuse and wire extension kit as necessary, free of charge.  Owner notification letters were mailed starting May 16, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 244.  This recall is an expansion of previous recall number 22V-633.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
21V524000,09/07/2021,HYUNDAI,SANTA FE,2021,"FUEL SYSTEM, GASOLINE:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS",False,False,False,Hyundai Motor America (Hyundai) is recalling certain 2021-2022 Santa Fe and Sonata vehicles equipped with 2.5L turbocharged engines.  Fuel may leak at the pipe connection between the high-pressure fuel pump and fuel rail.,A fuel leak increases the risk of a fire.,"Dealers will inspect and tighten, or replace the fuel pipe as necessary, free of charge.  Owner notification letters were mailed on September 3, 2021.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 207.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
21V00M000,28/12/2021,HYUNDAI,SANTA FE,2021,VISIBILITY:WINDSHIELD,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2020-2021 Santa Fe, 2021 Sonata, and Elantra vehicles.  During manufacturing, the windshield may not have been properly bonded to the vehicle, allowing it to detach in a crash.",A windshield that detaches from a vehicle during a crash can increase the risk of injury.,"Dealers will remove and reinstall the front windshield panel, free of charge.  Owner notification letters were mailed June 20, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 216.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
21V185000,17/03/2021,HYUNDAI,SANTA FE,2021,AIR BAGS: AIR BAG/RESTRAINT CONTROL MODULE,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2021 Santa Fe vehicles.  The Occupant Detection System (ODS) module may not deactivate the air bag upon detection of a child restraint system in the front passenger seat.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 208, ""Occupant Crash Protection.""","In the event of a crash, deployment of the front passenger air bag, with a child in that seat, can increase the risk of injury to the child.","Hyundai will notify owners, and dealers will replace the ODS module, free of charge.  All affected vehicles have been remedied as of May 12, 2021.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 202.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",Hyundai Motor America
21V308000,03/05/2021,HYUNDAI,SANTA FE,2021,"FUEL SYSTEM, GASOLINE:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS",False,False,False,Hyundai Motor America (Hyundai) is recalling certain 2021 Santa Fe vehicles equipped with 2.5-litre Turbo engines.  The fuel pipe connecting the high pressure fuel pump to the fuel rail may not have been tightened properly.,"An insufficiently tightened fuel pipe may leak fuel, increasing the risk of a fire.","Dealers inspected and tightened the fuel pipe connection, free of charge.  The affected vehicles have been repaired and therefore no owner notification letters will be sent.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 206.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",Hyundai Motor America
22V746000,06/10/2022,HYUNDAI,SANTA FE,2021,POWER TRAIN:AUTOMATIC TRANSMISSION,False,False,False,"Hyundai Motor Company (Hyundai) is recalling certain 2021-2022 Santa Fe, Sonata, Veloster N, 2022 Santa Cruz, Elantra N, and Kona N vehicles.  The vehicle's ""fail-safe"" limited-mobility drive mode may be impaired, when prompted by a transmission oil pump malfunction, which can result in a complete loss of drive power.",Loss of drive power increases the risk of a crash.,"Dealers will inspect and replace the transmission, as necessary.  Dealers will also update the transmission control unit software.  All repairs will be performed free of charge.  Owner notification letters were mailed January 10, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 236.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
23V181000,17/03/2023,HYUNDAI,SANTA FE,2021,TRAILER HITCHES,False,True,False,"Hyundai Motor America (Hyundai) is recalling certain 2019-2023 Santa Fe, 2021-2023 Santa Fe HEV, 2022-2023 Santa Fe Plug-in HEV and Santa Cruz vehicles potentially equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Hyundai dealership.  Water accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire.",A fire while parked or driving can increase the risk of injury.,"Owners are advised to park their vehicles outside and away from structures until the remedy is completed.  Dealers will install a new fuse and wire extension kit as necessary, free of charge.  Owner notification letters were mailed starting May 16, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 244.  This recall is an expansion of previous recall number 22V-633.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
24V879000,21/11/2024,HYUNDAI,SANTA FE,2021,BACK OVER PREVENTION: SENSING SYSTEM: CAMERA,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2021-2022 Santa Fe, Santa Fe HEV, Elantra, Elantra HEV and 2022 Elantra N and Santa Fe PHEV vehicles.  Due to a damaged printed circuit board, the rearview camera image may fail to display.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 111, ""Rear Visibility.""",A rearview image that does not display reduces the driver's visibility and increases the risk of a crash.,"Dealers will replace the rearview camera, free of charge.  Owner notification letters were mailed January 14, 2025.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 271.",Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153) or go to nhtsa.gov.,Hyundai Motor America
21V524000,09/07/2021,HYUNDAI,SANTA FE,2022,"FUEL SYSTEM, GASOLINE:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS",False,False,False,Hyundai Motor America (Hyundai) is recalling certain 2021-2022 Santa Fe and Sonata vehicles equipped with 2.5L turbocharged engines.  Fuel may leak at the pipe connection between the high-pressure fuel pump and fuel rail.,A fuel leak increases the risk of a fire.,"Dealers will inspect and tighten, or replace the fuel pipe as necessary, free of charge.  Owner notification letters were mailed on September 3, 2021.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 207.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
22V197000,28/03/2022,HYUNDAI,SANTA FE,2022,ENGINE AND ENGINE COOLING:ENGINE:GASOLINE:TURBO/SUPERCHARGER,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2022 Santa Fe and Santa Cruz vehicles.  The oil supply pipe to the turbocharger may crack, which could result in an oil leak in the engine compartment.","An oil leak in the presence of an ignition source such as hot engine or exhaust components, can increase the risk of a fire.","Dealers will replace the turbocharger oil supply pipe, free of charge.  Owner notification letters were mailed May 26, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall 222.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
22V746000,06/10/2022,HYUNDAI,SANTA FE,2022,POWER TRAIN:AUTOMATIC TRANSMISSION,False,False,False,"Hyundai Motor Company (Hyundai) is recalling certain 2021-2022 Santa Fe, Sonata, Veloster N, 2022 Santa Cruz, Elantra N, and Kona N vehicles.  The vehicle's ""fail-safe"" limited-mobility drive mode may be impaired, when prompted by a transmission oil pump malfunction, which can result in a complete loss of drive power.",Loss of drive power increases the risk of a crash.,"Dealers will inspect and replace the transmission, as necessary.  Dealers will also update the transmission control unit software.  All repairs will be performed free of charge.  Owner notification letters were mailed January 10, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 236.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
23V181000,17/03/2023,HYUNDAI,SANTA FE,2022,TRAILER HITCHES,False,True,False,"Hyundai Motor America (Hyundai) is recalling certain 2019-2023 Santa Fe, 2021-2023 Santa Fe HEV, 2022-2023 Santa Fe Plug-in HEV and Santa Cruz vehicles potentially equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Hyundai dealership.  Water accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire.",A fire while parked or driving can increase the risk of injury.,"Owners are advised to park their vehicles outside and away from structures until the remedy is completed.  Dealers will install a new fuse and wire extension kit as necessary, free of charge.  Owner notification letters were mailed starting May 16, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 244.  This recall is an expansion of previous recall number 22V-633.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
24V879000,21/11/2024,HYUNDAI,SANTA FE,2022,BACK OVER PREVENTION: SENSING SYSTEM: CAMERA,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2021-2022 Santa Fe, Santa Fe HEV, Elantra, Elantra HEV and 2022 Elantra N and Santa Fe PHEV vehicles.  Due to a damaged printed circuit board, the rearview camera image may fail to display.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 111, ""Rear Visibility.""",A rearview image that does not display reduces the driver's visibility and increases the risk of a crash.,"Dealers will replace the rearview camera, free of charge.  Owner notification letters were mailed January 14, 2025.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 271.",Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153) or go to nhtsa.gov.,Hyundai Motor America
23V181000,17/03/2023,HYUNDAI,SANTA FE,2023,TRAILER HITCHES,False,True,False,"Hyundai Motor America (Hyundai) is recalling certain 2019-2023 Santa Fe, 2021-2023 Santa Fe HEV, 2022-2023 Santa Fe Plug-in HEV and Santa Cruz vehicles potentially equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Hyundai dealership.  Water accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire.",A fire while parked or driving can increase the risk of injury.,"Owners are advised to park their vehicles outside and away from structures until the remedy is completed.  Dealers will install a new fuse and wire extension kit as necessary, free of charge.  Owner notification letters were mailed starting May 16, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 244.  This recall is an expansion of previous recall number 22V-633.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
24V246000,02/04/2024,HYUNDAI,SANTA FE,2024,BACK OVER PREVENTION:SOFTWARE,False,False,True,"Hyundai Motor America (Hyundai) is recalling certain 2024 Santa Fe vehicles.  The rearview camera image may be obstructed by a trailer parking assist message.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 111, ""Rear Visibility.""",An obstructed rearview camera image reduces rearward visibility and increases the risk of a crash or injury.,"Hyundai will release an over-the-air (OTA) software update.  Owner notification letters were mailed beginning May 31, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 258.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
24V529000,12/07/2024,HYUNDAI,SANTA FE,2024,POWER TRAIN:AUTOMATIC TRANSMISSION:CONTROL MODULE:SOFTWARE,False,False,False,Hyundai Motor America (Hyundai) is recalling certain 2024 Santa Fe vehicles.  A software error in the transmission control unit may result in a vehicle roll away when the vehicle is in PARK.,A vehicle roll away increases the risk of a crash or injury.,"Owners are advised to use the emergency parking brake after parking their vehicles.  Hyundai will release an over-the-air (OTA) software update for the transmission control unit.  In addition, dealers will inspect and replace the dual clutch transmission, as necessary.  All repairs will be performed free of charge.  Owner notification letters were mailed beginning August 26, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 263.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
24V561000,26/07/2024,HYUNDAI,SANTA FE,2024,AIR BAGS,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2024 Santa Fe and Santa Fe HEV vehicles.  The main floor wiring harness may chafe against the passenger-side second-row bench seat assembly and become damaged, which can cause the air bags to deploy unintentionally or prevent the air bags from deploying in a crash.",An air bag that deploys unintentionally can increase the risk of an injury.  An air bag that does not deploy as intended can increase the risk of injury in a crash.,"Dealers will inspect and repair, or replace the wiring harness as necessary, free of charge.  Owner notification letters were mailed August 22, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 265.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",Hyundai Motor America
24V843000,07/11/2024,HYUNDAI,SANTA FE,2024,ELECTRICAL SYSTEM:WIRING:SWITCHES/KNOBS/BUTTONS,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2024 Santa Fe and Santa Fe Hybrid vehicles. The overhead console rear sunshade switch knob may not be fully recessed, which can result in unintentional closing of the sunshade.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 118, ""Power-Operated Window, Partition and Roof Panel Systems.""",A sunshade that closes unexpectedly can increase the risk of injury.,"Dealers will replace the switch knobs, free of charge.  Owner notification letters were mailed December 2, 2025.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 270.",Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153) or go to nhtsa.gov.,Hyundai Motor America
25V659000,02/10/2025,HYUNDAI,SANTA FE,2024,ELECTRICAL SYSTEM:STARTER ASSEMBLY,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2024-2025 Santa Fe vehicles. The B+ positive terminal cover on the starter motor assembly may be improperly installed, which can cause an electrical short during a crash.",An electrical short increases the risk of a fire.,"Dealers will inspect and reinstall the starter motor terminal cover, as necessary, free of charge. Owner notification letters were mailed beginning October 22, 2025. Owners may contact Hyundai customer service at 1-855-371-9460. Hyundai's number for this recall is 285. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on October 4, 2025.",,Hyundai Motor America
25V808000,21/11/2025,HYUNDAI,SANTA FE,2024,BACK OVER PREVENTION:DISPLAY FUNCTION,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2024-2025 Santa Fe and Santa Fe Hybrid vehicles. The rearview camera may not have been installed properly, which can damage the wiring harness and cause the rearview camera image not to display. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 111, ""Rear Visibility.""","A rearview image that does not display reduces the driver's view behind the vehicle, increasing the risk of a crash.","Dealers will replace the camera wiring harness, free of charge. Owner notification letters were mailed beginning January 15, 2026. Owners may contact Hyundai customer service at 1-855-371-9460. Hyundai's number for this recall is 288. Vehicle Identification Numbers (VINs) involved in this recall became searchable on NHTSA.gov on November 22, 2025.",,Hyundai Motor America
